,City,latitude,Longitude,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
368,moron,-34.6534,-58.6198,58.89,78,2,3.96,AR,1659307781
369,birjand,32.8663,59.2211,73.87,28,0,9.22,IR,1659308072
370,caborca,30.5838,-111.101,90.21,43,83,7.47,MX,1659308074
371,ukhta,63.5671,53.6835,59.07,68,100,6.44,RU,1659308079
372,maceio,-9.6658,-35.7353,76.44,88,20,6.91,BR,1659308033
373,odweyne,9.4092,45.064,73.27,53,98,21.3,SO,1659308083
374,ixtapa,20.7,-105.2,87.22,73,99,5.01,MX,1659308086
375,roma,43.2128,-75.4557,78.82,69,100,0.22,US,1659308088
376,keffi,8.8486,7.8736,71.13,96,72,2.66,NG,1659308090
377,hanna,51.6334,-111.9018,86.86,41,28,7.0,CA,1659308093
378,guerrero negro,27.9769,-114.0611,84.18,45,13,13.29,MX,1659308095
379,benjamin constant,-4.3831,-70.0311,82.53,78,40,2.3,BR,1659308097
380,chitral,35.8462,71.7858,73.38,62,25,1.79,PK,1659308100
381,pangnirtung,66.1451,-65.7125,49.44,79,99,1.43,CA,1659308013
382,cabedelo,-6.9811,-34.8339,75.87,85,99,13.87,BR,1659307889
383,seoul,37.5683,126.9778,78.4,97,100,5.75,KR,1659308106
384,ornes,66.8689,13.7078,57.65,95,100,4.72,NO,1659308109
385,puerto escondido,15.85,-97.0667,85.06,70,20,5.37,MX,1659308111
386,fortuna,40.5982,-124.1573,67.93,81,0,12.66,US,1659308116
387,chesma,53.8111,60.6533,58.12,85,23,5.19,RU,1659308118
388,bolu,40.6667,31.5833,64.71,91,62,4.03,TR,1659308121
389,palmer,42.1584,-72.3287,81.95,60,75,10.36,US,1659308123
390,gamba,-2.65,10.0,71.11,95,30,6.64,GA,1659308125
391,nhulunbuy,-12.2333,136.7667,74.01,94,100,5.75,AU,1659308128
392,eyemouth,55.8713,-2.0901,53.82,78,71,7.11,GB,1659308130
393,octeville,49.6261,-1.6435,63.09,94,75,10.36,FR,1659308132
394,tateyama,34.9833,139.8667,83.61,77,83,8.03,JP,1659308007
395,caxito,-8.5785,13.6643,65.68,96,15,3.31,AO,1659308137
396,petropavlovsk-kamchatskiy,53.0452,158.6483,57.79,72,75,4.47,RU,1659308139
397,egvekinot,66.3167,-179.1667,53.85,49,42,4.34,RU,1659308142
398,lompoc,34.6391,-120.4579,76.51,69,0,17.27,US,1659308144
399,talavera de la reina,39.9635,-4.8308,85.35,30,60,4.83,ES,1659308148
400,telenesti,47.4997,28.3656,66.04,94,100,0.96,MD,1659308151
401,mudgee,-32.5943,149.5871,50.61,100,100,8.05,AU,1659308153
402,gigmoto,13.7796,124.39,82.09,82,100,6.62,PH,1659308156
403,atagay,55.1033,99.3875,62.35,89,51,3.31,RU,1659308158
404,tikapur,28.5,81.1333,79.45,86,100,0.92,NP,1659308160
405,wysokie mazowieckie,52.9166,22.5171,59.45,98,100,6.78,PL,1659308163
406,dutlwe,-23.9833,23.9,57.61,30,37,10.6,BW,1659308165
407,chipinge,-20.1883,32.6236,53.62,44,8,3.83,ZW,1659308167
408,kisangani,0.5167,25.2,70.56,97,100,2.24,CD,1659308170
409,sabha,27.0377,14.4283,84.22,18,0,9.91,LY,1659308172
410,cozumel,20.5083,-86.9458,89.67,74,40,10.36,MX,1659308175
411,hobyo,5.3505,48.5268,75.36,86,0,23.98,SO,1659308177
412,mayo,38.8876,-76.5119,78.98,85,100,1.99,US,1659307956
413,cooma,-36.2333,149.1333,44.37,75,40,17.27,AU,1659308181
414,makakilo city,21.3469,-158.0858,82.72,52,14,19.06,US,1659308186
415,santiago de cao,-7.9589,-79.2392,62.73,88,44,12.66,PE,1659308192
416,bonfim,3.0833,-59.95,78.28,80,46,4.88,BR,1659308195
417,nabire,-3.3667,135.4833,76.23,91,98,2.37,ID,1659308105
418,talnakh,69.4865,88.3972,45.21,70,20,16.02,RU,1659308199
419,labuhan,-6.8844,112.2051,73.99,87,98,5.46,ID,1659308071
420,zasheyek,67.4066,32.5499,50.95,97,99,4.03,RU,1659308204
421,nyurba,63.2842,118.3319,69.53,72,61,4.52,RU,1659308021
422,kraskino,42.7114,130.7794,72.45,99,100,4.32,RU,1659308208
423,laguna,38.421,-121.4238,91.02,45,0,9.22,US,1659308053
424,bima,-8.4667,118.7167,73.76,89,73,2.8,ID,1659308215
425,port-de-bouc,43.4,4.9833,78.82,59,0,10.36,FR,1659308217
426,la grande,45.3246,-118.0877,101.01,17,72,10.04,US,1659308220
427,pychas,56.5033,52.4409,59.52,93,64,4.61,RU,1659308222
428,neuquen,-38.9516,-68.0591,53.49,62,0,0.0,AR,1659308224
429,waipawa,-41.4122,175.5153,47.19,70,3,2.37,NZ,1659308227
430,sioux lookout,50.1001,-91.917,68.07,94,75,3.44,CA,1659308229
431,kourou,5.1552,-52.6478,83.1,86,50,4.97,GF,1659308231
432,vostok,46.4856,135.8833,71.46,79,100,3.33,RU,1659308208
433,hamilton,39.1834,-84.5333,80.6,74,35,1.01,US,1659308236
434,khandyga,62.6667,135.6,76.42,56,48,4.16,RU,1659308242
435,bridgetown,13.1,-59.6167,82.89,78,40,19.57,BB,1659308245
436,henties bay,-22.116,14.2845,53.53,76,72,2.51,NA,1659308247
437,chiredzi,-21.05,31.6667,61.45,45,5,5.28,ZW,1659308250
438,port lincoln,-34.7333,135.8667,53.98,77,3,12.48,AU,1659308252
439,lasa,46.6166,10.7002,63.36,88,3,4.65,IT,1659308254
440,pauini,-7.7136,-66.9764,80.64,64,97,2.46,BR,1659308257
441,sharjah,25.3573,55.4033,98.58,40,0,4.61,AE,1659308259
442,micomeseng,2.1462,10.6164,68.04,96,74,3.2,GQ,1659308261
443,codrington,-38.2667,141.9667,46.08,91,33,16.2,AU,1659308264
444,yeppoon,-23.1333,150.7333,60.58,78,99,8.21,AU,1659308266
445,karaidel,55.8337,56.9069,57.36,94,72,2.13,RU,1659308268
446,bhainsdehi,21.6467,77.6325,71.51,89,96,4.47,IN,1659308271
447,sidi ali,36.0998,0.4206,75.83,83,0,5.26,DZ,1659308273
448,cap-aux-meules,47.3821,-61.8597,73.45,64,20,12.66,CA,1659308275
449,grand gaube,-20.0064,57.6608,70.38,72,7,1.99,MU,1659308278
450,camacha,33.0833,-16.3333,67.42,78,40,6.91,PT,1659308280
451,soe,-9.8607,124.284,66.97,83,84,4.45,ID,1659308283
452,srivardhan,18.0333,73.0167,80.53,83,69,5.03,IN,1659308285
453,vilyuysk,63.7553,121.6247,67.78,85,100,3.24,RU,1659308287
454,maumere,-8.6199,122.2111,76.66,79,60,2.59,ID,1659308290
455,margate,51.3813,1.3862,67.3,89,97,4.0,GB,1659308292
456,poshekhonye,58.4993,39.1353,53.96,82,73,1.86,RU,1659308294
457,champerico,14.3,-91.9167,90.14,81,100,10.83,GT,1659308301
458,great falls,47.5002,-111.3008,97.66,10,0,10.36,US,1659308090
459,sechura,-5.5569,-80.8222,67.68,68,8,18.03,PE,1659308305
460,kavieng,-2.5744,150.7967,83.55,73,94,13.6,PG,1659308308
461,morros,-9.4467,-46.3003,83.93,34,59,4.09,BR,1659308310
462,adre,13.4667,22.2,74.19,81,100,5.7,TD,1659308313
463,ganzhou,28.8184,115.4327,81.82,75,0,1.74,CN,1659308315
464,mvuma,-19.2792,30.5283,53.82,31,6,7.09,ZW,1659308317
465,vagur,61.4732,-6.8119,50.79,87,45,18.9,FO,1659308320
466,batemans bay,-35.7167,150.1833,55.09,64,67,10.85,AU,1659308324
467,sur,22.5667,59.5289,85.91,66,34,10.2,OM,1659308327
468,bowen,-20.0167,148.2333,68.05,76,69,13.82,AU,1659308233
469,ransang,8.9603,117.5828,78.85,86,100,7.58,PH,1659308331
470,kpandae,8.4689,-0.0113,72.86,95,100,8.25,GH,1659308333
471,ormara,25.2088,64.6357,81.97,85,100,15.97,PK,1659308336
472,twentynine palms,34.1356,-116.0542,99.14,28,80,7.0,US,1659308136
473,kidal,18.4411,1.4078,96.71,17,69,6.33,ML,1659308340
474,gornozavodsk,58.3758,58.3211,57.6,98,89,5.35,RU,1659308343
475,basco,20.4487,121.9702,85.69,74,97,13.96,PH,1659308345
476,samarai,-10.6167,150.6667,80.76,80,61,11.72,PG,1659308272
477,wasilla,61.5814,-149.4394,66.22,71,75,4.61,US,1659308349
478,geraldton,-28.7667,114.6,59.41,67,100,23.02,AU,1659308352
479,nianzishan,47.5167,122.8833,74.34,77,61,4.23,CN,1659308354
480,nancha,47.1333,129.2667,76.24,83,4,1.16,CN,1659308356
481,hanmer springs,-42.5167,172.8167,40.68,93,5,5.86,NZ,1659308359
482,tadine,-21.55,167.8833,72.41,76,99,18.77,NC,1659308308
483,santa teresa,10.2341,-66.6631,79.72,75,36,6.08,VE,1659308363
484,saldanha,-33.0117,17.9442,44.65,79,0,13.96,ZA,1659308366
485,buala,-8.145,159.5921,84.54,71,14,12.3,SB,1659308368
486,srandakan,-7.9386,110.2506,71.35,87,25,2.75,ID,1659308370
487,korem,12.5058,39.5228,60.6,71,96,3.15,ET,1659308373
488,linkou,45.3,130.2833,74.71,91,65,3.69,CN,1659308375
489,fairbanks,64.8378,-147.7164,65.3,86,100,3.33,US,1659308377
490,aksarka,66.5606,67.7975,47.7,86,33,4.65,RU,1659308380
491,iqaluit,63.7506,-68.5145,51.53,76,75,11.5,CA,1659308382
492,hurghada,27.2574,33.8129,89.64,23,0,10.36,EG,1659308384
493,pallasovka,50.05,46.8833,71.83,67,48,12.82,RU,1659308387
494,flinders,-34.5833,150.8552,61.38,77,79,5.99,AU,1659308389
495,walnut,34.0203,-117.8653,100.63,35,0,11.5,US,1659308392
496,raymond terrace,-32.75,151.75,60.12,82,100,4.61,AU,1659308394
497,qui nhon,13.7667,109.2333,78.06,87,100,5.37,VN,1659308396
498,pascagoula,30.3658,-88.5561,90.55,75,6,7.87,US,1659308399
499,dosso,13.049,3.1937,74.53,71,99,11.74,NE,1659308401
500,acapulco,16.8634,-99.8901,85.68,68,33,10.51,MX,1659308371
501,mirnyy,62.5353,113.9611,64.24,82,60,7.0,RU,1659308406
502,puerto carreno,6.189,-67.4859,80.33,83,78,1.16,CO,1659308411
503,manokwari,-0.8667,134.0833,80.65,64,83,1.77,ID,1659308413
504,den helder,52.9599,4.7593,65.01,94,75,9.22,NL,1659308416
505,quatre cocos,-20.2078,57.7625,70.09,71,16,13.67,MU,1659308271
506,portland,45.5234,-122.6762,101.98,32,6,7.0,US,1659308333
507,opuwo,-18.0607,13.84,51.13,49,4,7.54,NA,1659308422
508,impfondo,1.6381,18.0667,71.92,76,78,1.19,CG,1659308425
509,mont-de-marsan,44.0,-0.6667,67.82,77,0,5.75,FR,1659308427
510,price,39.5994,-110.8107,89.11,25,31,9.98,US,1659308430
511,northam,51.0333,-4.2167,60.39,95,7,5.46,GB,1659308432
512,benjamin aceval,-24.9667,-57.5667,69.89,48,100,2.57,PY,1659308437
513,pedernales,18.0384,-71.744,88.29,58,38,20.15,DO,1659308250
514,santa rosa,14.3122,121.1114,80.11,95,100,1.12,PH,1659308441
515,udachnyy,66.4167,112.4,57.45,93,100,16.78,RU,1659308444
516,merauke,-8.4667,140.3333,78.33,83,88,12.03,ID,1659308448
517,ternate,0.8,127.4,80.26,81,100,3.22,ID,1659308451
518,scarborough,54.2797,-0.4044,57.9,87,92,5.32,GB,1659308430
519,antofagasta,-23.65,-70.4,57.65,86,58,7.31,CL,1659308456
520,san bartolome de tirajana,27.9248,-15.5733,63.07,86,20,28.77,ES,1659308458
521,okhotsk,59.3833,143.3,58.26,88,100,7.34,RU,1659308460
522,chuy,-33.6971,-53.4616,49.35,79,94,5.88,UY,1659308463
523,campoverde,-8.4753,-74.8058,84.56,52,61,1.57,PE,1659308465
524,athabasca,54.7169,-113.2854,66.61,52,72,3.44,CA,1659308384
525,kloulklubed,7.0419,134.2556,73.9,78,100,6.98,PW,1659308470
526,erie,42.7667,-78.6664,80.78,58,88,5.01,US,1659308334
527,primero de enero,21.9469,-78.4283,83.03,76,38,14.18,CU,1659308474
528,bereda,43.2686,-7.5406,65.57,100,49,7.38,ES,1659308477
529,puerto del rosario,28.5004,-13.8627,73.15,83,0,19.57,ES,1659308479
530,lewisporte,49.2499,-55.0482,67.15,78,82,4.07,CA,1659308481
531,iaciara,-14.0958,-46.6317,76.8,22,2,2.68,BR,1659308484
532,gorom-gorom,14.4439,-0.2361,80.02,64,99,17.45,BF,1659308486
533,jega,12.2175,4.3792,75.04,75,52,7.23,NG,1659308488
534,qasigiannguit,68.8193,-51.1922,59.25,93,58,4.65,GL,1659308493
535,southbridge,42.0751,-72.0334,81.93,69,85,5.64,US,1659308495
536,menongue,-14.6585,17.691,55.09,37,4,1.83,AO,1659308498
537,bela,25.9333,81.9833,86.09,69,100,3.98,IN,1659308500
538,bindura,-17.3019,31.3306,52.61,41,3,1.88,ZW,1659308502
539,caninde,-4.3589,-39.3117,75.54,76,34,1.81,BR,1659308505
540,condado,21.8767,-79.8403,83.53,80,46,9.71,CU,1659308507
541,winneba,5.3511,-0.6231,73.83,84,93,13.8,GH,1659308509
542,san clemente,33.427,-117.612,97.56,73,57,5.99,US,1659308399
543,magadi,12.9667,77.2333,75.45,84,93,4.7,IN,1659308514
544,etchoropo,26.7667,-109.6667,91.42,50,52,9.46,MX,1659308516
545,linxia,35.6003,103.2064,64.96,84,100,3.67,CN,1659308519
546,arlit,18.7369,7.3853,96.62,23,27,13.24,NE,1659308521
547,osoyoos,49.0331,-119.4524,106.59,5,2,5.17,CA,1659308466
548,watsa,3.0372,29.5355,63.54,100,100,1.19,CD,1659308525
549,mashhad,36.297,59.6062,73.54,56,0,4.61,IR,1659308528
550,bursa,40.1667,29.0833,64.44,75,0,2.39,TR,1659308530
551,kirando,-7.4167,30.6,72.97,52,0,4.03,TZ,1659308533
552,leh,34.1667,77.5833,60.01,55,40,5.55,IN,1659308535
553,high level,58.5169,-117.136,66.9,49,85,4.88,CA,1659308537
554,dunedin,-45.8742,170.5036,45.97,66,2,4.18,NZ,1659308401
555,cobija,-11.0267,-68.7692,81.36,44,6,2.44,BO,1659308542
556,joao pinheiro,-17.7425,-46.1725,73.56,29,0,2.48,BR,1659308455
557,simao,22.7886,100.9748,64.58,99,99,1.9,CN,1659308548
558,mandasa,18.8667,84.4667,80.92,86,100,6.02,IN,1659308551
559,yate,51.5407,-2.4184,64.45,75,77,6.46,GB,1659308553
560,nome,64.5011,-165.4064,58.15,79,89,9.86,US,1659308555
561,minab,27.1467,57.0801,88.5,74,100,3.58,IR,1659308558
562,gympie,-26.1898,152.665,61.27,77,100,0.94,AU,1659308560
563,lukulu,-14.3707,23.242,59.22,25,0,5.55,ZM,1659308563
564,cruz alta,-28.6386,-53.6064,53.58,79,21,1.79,BR,1659308565
565,sept-iles,50.2001,-66.3821,71.06,74,77,5.01,CA,1659308473
566,nouakchott,18.0858,-15.9785,82.33,82,33,11.99,MR,1659308569
567,deputatskiy,69.3,139.9,68.74,66,75,2.84,RU,1659308574
568,ayni,39.3941,68.5377,63.68,72,5,2.84,TJ,1659308576
569,saint anthony,45.0205,-93.218,84.13,62,75,17.27,US,1659308579
570,madimba,-10.4,40.3333,69.28,88,19,5.73,TZ,1659308581
571,bilibino,68.0546,166.4372,61.95,47,79,5.26,RU,1659308583
572,dumabato,16.3167,121.7,74.7,94,100,2.13,PH,1659308586
573,alto araguaia,-17.3147,-53.2153,70.79,32,0,1.92,BR,1659308298
574,chegdomyn,51.1167,133.0167,70.9,93,99,1.7,RU,1659308590
575,san jose,37.3394,-121.895,88.45,57,63,6.08,US,1659308402
576,antalaha,-14.9003,50.2788,66.54,92,34,5.73,MG,1659308595
577,emmaus,40.5395,-75.4968,82.74,68,40,4.61,US,1659308599
578,ak-dovurak,51.1833,90.6,60.62,73,100,0.74,RU,1659308602
579,kiyasovo,56.3491,53.1244,60.62,79,45,4.05,RU,1659308604
580,banda aceh,5.5577,95.3222,79.65,77,100,9.04,ID,1659308606
581,chimbote,-9.0853,-78.5783,63.43,82,43,10.0,PE,1659308609
582,hastings,50.8552,0.5729,67.32,98,36,4.29,GB,1659308515
583,florianopolis,-27.6146,-48.5012,60.03,80,0,11.5,BR,1659308339
584,jambalo,2.7923,-76.3226,57.24,94,91,1.72,CO,1659308615
585,alyangula,-13.8483,136.4192,72.82,79,88,8.97,AU,1659308618
586,letlhakane,-21.4167,25.5833,61.21,23,3,10.11,BW,1659308620
