,Unnamed: 0,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
423,423,okato,-39.2,173.8833,49.68,56,39,2.06,NZ,1661730776
424,424,lakatoro,-16.0999,167.4164,78.57,82,82,19.51,VU,1661730778
425,425,lisakovsk,52.5369,62.4936,63.72,38,7,6.17,KZ,1661730783
426,426,kozhva,65.1073,57.0459,54.66,87,82,5.12,RU,1661730785
427,427,veraval,20.9,70.3667,79.54,75,100,7.61,IN,1661730787
428,428,ano mera,37.45,25.4,77.74,69,0,0.0,GR,1661730790
429,429,dhidhdhoo,6.8833,73.1,80.58,82,89,20.29,MV,1661730792
430,430,mitsamiouli,-11.3847,43.2844,74.46,67,2,4.99,KM,1661730794
431,431,bangassou,4.7413,22.8184,66.97,98,80,2.3,CF,1661730797
432,432,herat,34.5,62.0,66.79,18,0,15.23,AF,1661730656
433,433,lasa,46.6166,10.7002,65.28,89,96,2.17,IT,1661730801
434,434,patur,20.45,76.9333,73.76,90,100,6.58,IN,1661730804
435,435,erzin,36.9559,36.2,78.73,29,0,2.57,TR,1661730806
436,436,yima,34.7381,111.8839,60.93,92,100,5.53,CN,1661730809
437,437,bella union,-30.2752,-57.6007,44.04,71,4,8.41,UY,1661730811
438,438,bowen,-20.0167,148.2333,74.34,72,85,18.48,AU,1661730813
439,439,znamenka,52.4167,41.4311,72.27,27,77,11.01,RU,1661730816
440,440,galle,6.0367,80.217,77.85,87,95,13.38,LK,1661730818
441,441,sanghar,26.0466,68.9481,78.67,82,91,11.07,PK,1661730820
442,442,pontianak,-0.0333,109.3333,75.18,94,75,3.44,ID,1661730823
443,443,doha,25.2867,51.5333,93.09,63,0,4.61,QA,1661730817
444,444,port augusta,-32.5,137.7667,59.29,54,81,13.44,AU,1661730827
445,445,durban,-29.8579,31.0292,67.01,96,66,3.0,ZA,1661730829
446,446,rundu,-17.9333,19.7667,62.8,29,5,6.13,,1661730832
447,447,visnes,59.3556,5.2242,59.05,77,100,14.97,NO,1661730834
448,448,mkushi,-13.6202,29.3939,61.77,40,0,5.77,ZM,1661730836
449,449,meulaboh,4.1363,96.1285,74.3,87,95,2.48,ID,1661730843
450,450,blagoyevo,63.3667,47.9167,57.45,94,67,4.03,RU,1661730846
451,451,jacareacanga,-6.2222,-57.7528,77.36,63,84,2.17,BR,1661730697
452,452,samana,19.2056,-69.3369,80.56,87,94,8.95,DO,1661730850
453,453,cap malheureux,-19.9842,57.6142,69.48,82,27,3.0,MU,1661730855
454,454,bay roberts,47.5999,-53.2648,64.15,82,2,3.0,CA,1661730857
455,455,karasjok,69.4719,25.5112,47.73,85,84,14.81,NO,1661730860
456,456,noyabrsk,63.1994,75.4507,43.03,87,90,8.08,RU,1661730730
457,457,woodbridge,40.5576,-74.2846,78.37,86,100,8.05,US,1661730651
458,458,correntina,-13.3433,-44.6367,72.88,37,19,3.94,BR,1661730871
459,459,maniago,46.1706,12.7078,69.13,91,99,5.03,IT,1661730873
460,460,sundsvall,62.3913,17.3063,51.96,63,93,9.22,SE,1661730876
461,461,lavrentiya,65.5833,-171.0,46.18,72,15,5.66,RU,1661730878
462,462,avera,33.194,-82.5271,85.55,62,70,6.29,US,1661730880
463,463,peleduy,59.6289,112.7406,43.2,96,100,12.17,RU,1661730883
464,464,san rafael del sur,11.8485,-86.4384,81.57,88,100,3.47,NI,1661730885
465,465,volovo,48.5246,23.5056,64.8,72,37,3.71,UA,1661730887
466,466,saint-pierre,-21.3393,55.4781,71.28,75,0,3.44,RE,1661730890
467,467,arawa,-6.2132,155.5367,84.67,69,34,6.53,PG,1661730892
468,468,knysna,-34.0363,23.0471,52.05,86,35,7.87,ZA,1661730894
469,469,brae,60.3964,-1.353,49.28,80,0,6.96,GB,1661730897
470,470,shiyan,32.6475,110.7781,68.27,89,100,1.23,CN,1661730899
471,471,petropavlovsk-kamchatskiy,53.0452,158.6483,59.59,100,75,11.18,RU,1661730901
472,472,cabedelo,-6.9811,-34.8339,75.87,85,8,12.53,BR,1661730904
473,473,wahiawa,21.5028,-158.0236,82.15,56,20,11.5,US,1661730906
474,474,garowe,8.4054,48.4845,72.01,71,100,24.74,SO,1661730733
475,475,grootfontein,-19.5667,18.1167,54.97,41,3,2.3,,1661730913
476,476,palakkad,10.7833,76.65,77.38,99,100,5.17,IN,1661730915
477,477,manjeshwar,12.7194,74.8861,77.95,92,95,9.8,IN,1661730918
478,478,sangar,63.9242,127.4739,55.74,69,58,15.08,RU,1661730920
479,479,huarmey,-10.0681,-78.1522,62.58,84,2,8.72,PE,1661730756
480,480,arcata,40.8665,-124.0828,67.62,76,75,9.22,US,1661730792
481,481,piacabucu,-10.4056,-36.4344,72.14,83,6,7.31,BR,1661730927
482,482,hinwil,47.2943,8.8439,63.23,87,14,1.99,CH,1661730929
483,483,amlame,7.4667,0.9,68.88,98,76,3.24,TG,1661730932
484,484,okulovka,58.4008,33.2908,69.4,44,100,1.92,RU,1661730934
485,485,vilhena,-12.7406,-60.1458,82.62,51,67,9.22,BR,1661730779
486,486,sinnamary,5.3833,-52.95,78.91,84,88,10.96,GF,1661730938
487,487,sao joao da barra,-21.6403,-41.0511,71.74,87,10,17.81,BR,1661730941
488,488,crixas,-14.5489,-49.9692,81.48,25,10,3.18,BR,1661730943
489,489,pochutla,15.7432,-96.4661,78.94,84,92,1.92,MX,1661730946
490,490,qaqortoq,60.7167,-46.0333,41.52,88,100,0.96,GL,1661730948
491,491,lubao,14.9167,120.55,78.51,83,51,2.26,PH,1661730950
492,492,komsomolskiy,40.4272,71.7189,68.72,32,10,6.91,UZ,1661730953
493,493,hervey bay,-25.2986,152.8535,67.01,86,72,3.0,AU,1661730955
494,494,storsteinnes,69.2408,19.2344,50.65,98,100,4.34,NO,1661730957
495,495,ilhabela,-23.7781,-45.3581,68.38,93,65,11.39,BR,1661730719
496,496,moron,-34.6534,-58.6198,51.55,49,1,1.86,AR,1661730962
